"PID_PRCPID","OID_CNT","FirstOfUSE_MAIN","MAX_FLR","TOT_FLRARE","A_ATHLETIC","A_ACADEMIC","A_PUBLCASM","A_FIREPOL","A_GARAGE","A_HOTEL","A_LIBRARY","A_MALL","A_MEDICAL","A_MUSEUM","A_OFFICE","A_RESIDENT","A_RESTRNT","A_RETAIL","A_SUPERMRK","A_SCHOOL","A_WORSHIP"
"0502572000",2,"CollegeAcademic",6,1027.27,0.00,1027.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0502573000",1,"CollegeAcademic",6,831.15,0.00,831.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0502574000a",1,"CollegeAcademic",6,2162.17,0.00,2162.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0502575000",1,"Residential",7,1379.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1379.37,0.00,0.00,0.00,0.00,0.00
"0502576000",1,"Residential",7,1096.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.44,0.00,0.00,0.00,0.00,0.00
"0502577000",1,"Residential",7,1099.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1099.64,0.00,0.00,0.00,0.00,0.00
"0502579010",2,"Residential",5,4481.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4481.43,0.00,0.00,0.00,0.00,0.00
"0502581010",2,"Residential",6,2229.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2229.76,0.00,0.00,0.00,0.00,0.00
"0502583000",1,"Residential",6,1405.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1405.44,0.00,0.00,0.00,0.00,0.00
"0502585000",1,"Residential",6,755.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,755.31,0.00,0.00,0.00,0.00,0.00
"0502586000",1,"Residential",6,834.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.62,0.00,0.00,0.00,0.00,0.00
"0502587000",3,"Residential",6,1383.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1383.57,0.00,0.00,0.00,0.00,0.00
"0502588000",3,"Residential",6,1430.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1430.67,0.00,0.00,0.00,0.00,0.00
"0502589000",2,"Residential",6,1085.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,802.78,0.00,282.79,0.00,0.00,0.00
"0502590000",3,"Residential",6,2392.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2392.97,0.00,0.00,0.00,0.00,0.00
"0502591000",1,"Residential",6,859.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,859.51,0.00,0.00,0.00,0.00,0.00
"0502592000",1,"Residential",5,1396.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1396.92,0.00,0.00,0.00,0.00,0.00
"0502593000",3,"Residential",7,1146.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146.52,0.00,0.00,0.00,0.00,0.00
"0502594000",1,"Residential",6,1298.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1298.19,0.00,0.00,0.00,0.00,0.00
"0502595000",2,"Residential",6,1554.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1554.18,0.00,0.00,0.00,0.00,0.00
"0502596000",1,"Office",5,1250.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.49,0.00,0.00,0.00,0.00,0.00,0.00
"0502597000",1,"Residential",11,4123.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4123.70,0.00,0.00,0.00,0.00,0.00
