"FID_TXT","PID_PRCPID","USE_MAIN","NUM_FLR","AREA_POL","AREA_BLD","A_ATHLETIC","A_ACADEMIC","A_PUBLCASM","A_FIREPOL","A_GARAGE","A_HOTEL","A_LIBRARY","A_MALL","A_MEDICAL","A_MUSEUM","A_OFFICE","A_RESIDENT","A_RESTRNT","A_RETAIL","A_SUPERMRK","A_SCHOOL","A_WORSHIP"
"1037","0503201000","Office",5,1169.85,5849.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4679.41,0.00,0.00,1169.85,0.00,0.00,0.00
"1038","0503202000","Office",6,652.13,3912.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3260.67,0.00,0.00,652.13,0.00,0.00,0.00
"1039","0503203000","Office",6,238.71,1432.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1193.56,0.00,238.71,0.00,0.00,0.00,0.00
"1042","0503206000","Office",5,237.20,1186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,948.80,0.00,237.20,0.00,0.00,0.00,0.00
"1043","0503206000","Office",6,229.58,1377.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1147.90,0.00,229.58,0.00,0.00,0.00,0.00
"1044","0503207100","Office",8,1395.30,11162.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9767.14,0.00,0.00,1395.30,0.00,0.00,0.00
"1046","0503210000","Office",3,376.28,1128.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,752.57,0.00,376.28,0.00,0.00,0.00,0.00
"1047","0503211000","Office",3,715.63,2146.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1431.27,0.00,0.00,715.63,0.00,0.00,0.00
"1048","0503212000","Office",3,260.50,781.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,521.00,0.00,260.50,0.00,0.00,0.00,0.00
"1049","0503213000","Office",2,457.48,914.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,914.97,0.00,0.00,0.00,0.00,0.00,0.00
"1064","0503226000","Office",5,224.54,1122.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,449.08,0.00,673.62,0.00,0.00,0.00
"1065","0503227000","Office",5,708.41,3542.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2833.65,0.00,0.00,708.41,0.00,0.00,0.00
"1141","0503294000","Office",5,351.51,1757.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1757.59,0.00,0.00,0.00,0.00,0.00,0.00
"1497","0503595000","Office",6,522.48,3134.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3134.91,0.00,0.00,0.00,0.00,0.00,0.00
"1616","0401116000","Office",8,1852.52,14820.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14820.20,0.00,0.00,0.00,0.00,0.00,0.00
"1617","0401116000","Office",10,975.43,9754.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9754.39,0.00,0.00,0.00,0.00,0.00,0.00
"953","0503113000","Office",5,220.39,1101.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1101.95,0.00,0.00,0.00,0.00,0.00,0.00
"956","0503118000","Office",4,214.78,859.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.56,0.00,214.78,214.78,0.00,0.00,0.00
"957","0503120000","Office",2,29.07,58.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.14,0.00,0.00,0.00
"958","0503120000","Office",5,102.49,512.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.49,0.00,0.00,204.99,0.00,0.00,0.00
"968","0503128000","Office",6,553.88,3323.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2769.41,0.00,0.00,553.88,0.00,0.00,0.00
"975","0503134000","Office",12,1248.75,14985.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13736.34,0.00,0.00,1248.75,0.00,0.00,0.00
"976","0503138000","Office",7,386.27,2703.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2317.63,0.00,386.27,0.00,0.00,0.00,0.00
"977","0503139000","Office",4,348.22,1392.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.66,0.00,348.22,0.00,0.00,0.00,0.00
"982","0503144000","Office",6,45.65,273.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182.63,0.00,0.00,91.31,0.00,0.00,0.00
"983","0503145000","Office",6,46.92,281.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.69,0.00,0.00,93.84,0.00,0.00,0.00
"984","0503146000","Office",5,110.54,552.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.64,0.00,0.00,221.09,0.00,0.00,0.00
"987","0503149000","Office",5,109.67,548.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.03,0.00,109.67,109.67,0.00,0.00,0.00
"988","0503150000","Office",5,109.50,547.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.51,0.00,109.50,109.50,0.00,0.00,0.00
"1007","0503170000","Office",6,34.11,204.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.47,0.00,0.00,68.23,0.00,0.00,0.00
"1018","0503182000","Office",5,110.97,554.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.92,0.00,0.00,221.95,0.00,0.00,0.00
"1019","0503182000","Office",5,116.48,582.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.46,0.00,0.00,232.97,0.00,0.00,0.00
"1622","0501296000","Office",10,1032.42,10324.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9291.83,0.00,0.00,1032.42,0.00,0.00,0.00
"1638","0401092000","Office",25,771.60,19290.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18518.52,0.00,0.00,771.60,0.00,0.00,0.00
"1639","0401092000","Office",6,1144.26,6865.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5721.32,0.00,0.00,1144.26,0.00,0.00,0.00
"1640","0501296000","Office",8,116.26,930.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,813.85,0.00,0.00,116.26,0.00,0.00,0.00
"1646","0401115000","Office",7,1267.61,8873.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8873.28,0.00,0.00,0.00,0.00,0.00,0.00
"1647","0401115000","Office",7,1250.98,8756.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8756.87,0.00,0.00,0.00,0.00,0.00,0.00
"1648","0401096000","Office",6,190.69,1144.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,953.49,0.00,0.00,190.69,0.00,0.00,0.00
"1649","0401096000","Office",6,2341.06,14046.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11705.30,0.00,0.00,2341.06,0.00,0.00,0.00
"1677","0503170000","Office",4,28.01,112.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.02,0.00,0.00,56.02,0.00,0.00,0.00
"1678","0503170000","Office",4,34.67,138.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.34,0.00,0.00,69.34,0.00,0.00,0.00
"1695","0503145000","Office",5,28.34,141.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.02,0.00,0.00,56.68,0.00,0.00,0.00
"1696","0503145000","Office",5,50.74,253.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.24,0.00,0.00,101.49,0.00,0.00,0.00
"1697","0503144000","Office",5,27.92,139.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.77,0.00,0.00,55.85,0.00,0.00,0.00
"1698","0503144000","Office",5,44.63,223.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.91,0.00,0.00,89.27,0.00,0.00,0.00
"1709","0400924000","Office",5,155.24,776.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776.23,0.00,0.00,0.00,0.00,0.00,0.00
"1732","0400967000","Office",2,305.19,610.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,610.38,0.00,0.00,0.00,0.00,0.00,0.00
"1747","0400985000e","Office",12,11230.98,134771.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56154.93,0.00,0.00,78616.90,0.00,0.00,0.00,0.00,0.00,0.00
"1753","0401013000","Office",14,258.44,3618.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3359.84,0.00,258.44,0.00,0.00,0.00,0.00
"1754","0401013000","Office",15,1137.57,17063.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15926.08,0.00,1137.57,0.00,0.00,0.00,0.00
"1755","0401084010","Office",8,744.90,5959.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5959.24,0.00,0.00,0.00,0.00,0.00,0.00
"1759","0401119000","Office",4,162.56,650.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.24,0.00,0.00,0.00,0.00,0.00,0.00
"1766","0401128010","Office",8,773.95,6191.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5417.67,0.00,773.95,0.00,0.00,0.00,0.00
"1769","0401132000","Office",9,1433.35,12900.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12900.15,0.00,0.00,0.00,0.00,0.00,0.00
"1775","0400960000","Office",4,88.45,353.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.83,0.00,0.00,0.00,0.00,0.00,0.00
"1805","0401013000","Office",12,93.48,1121.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.34,0.00,93.48,0.00,0.00,0.00,0.00
"1806","0401013000","Office",12,101.00,1212.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1111.06,0.00,101.00,0.00,0.00,0.00,0.00
"1807","0401013000","Office",14,247.96,3471.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3223.54,0.00,247.96,0.00,0.00,0.00,0.00
"1835","0401084010","Office",4,351.07,1404.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1404.28,0.00,0.00,0.00,0.00,0.00,0.00
"869","0503046000","Office",2,615.20,1230.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1230.40,0.00,0.00,0.00,0.00,0.00,0.00
"0","0401037010","Residential",26,1200.69,31218.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31218.12,0.00,0.00,0.00,0.00,0.00
"1","0401037050","Residential",25,1162.80,29070.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29070.06,0.00,0.00,0.00,0.00,0.00
"2","0401037075","Residential",26,1171.35,30455.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30455.10,0.00,0.00,0.00,0.00,0.00
"3","0401037085","Residential",28,1022.41,28627.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28627.53,0.00,0.00,0.00,0.00,0.00
"16","0401037600","Residential",11,1544.74,16992.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15447.47,0.00,1544.74,0.00,0.00,0.00
"18","0401037800b","Residential",14,1104.32,15460.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2208.64,0.00,0.00,0.00,13251.84,0.00,0.00,0.00,0.00,0.00
"24","0401053010","Residential",4,606.02,2424.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2424.08,0.00,0.00,0.00,0.00,0.00,0.00
"25","0401053010","Residential",18,912.76,16429.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3651.05,12778.70,0.00,0.00,0.00,0.00,0.00
"53","0501158000","Residential",2,214.80,429.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.80,0.00,214.80,0.00,0.00,0.00
"54","0501158000","Residential",5,220.24,1101.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,880.98,0.00,220.24,0.00,0.00,0.00
"56","0501160000","Residential",3,110.36,331.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.72,0.00,110.36,0.00,0.00,0.00
"57","0501160000","Residential",5,96.86,484.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387.46,0.00,96.86,0.00,0.00,0.00
"58","0501161000","Residential",5,175.30,876.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,701.21,0.00,0.00,175.30,0.00,0.00,0.00
"81","0501204000","Residential",5,254.89,1274.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1274.45,0.00,0.00,0.00,0.00,0.00
"82","0501205000","Residential",5,201.50,1007.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1007.53,0.00,0.00,0.00,0.00,0.00
"83","0501206000","Residential",5,255.30,1276.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1276.54,0.00,0.00,0.00,0.00,0.00
"84","0501207000","Residential",5,146.20,731.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,731.04,0.00,0.00,0.00,0.00,0.00
"85","0501208000","Residential",5,347.40,1737.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1737.04,0.00,0.00,0.00,0.00,0.00
"86","0501210000","Residential",5,158.26,791.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,791.32,0.00,0.00,0.00,0.00,0.00
